aly-abbara.url	http://www.aly-abbara.com/
aomei.url	https://www.ubackup.com/
aomei2.url	https://www.aomeitech.com/
archive.url	https://archive.org/
atlassian_git.url	https://www.atlassian.com/git
bashrcgenerator.url	http://bashrcgenerator.com/
codepen.url	https://codepen.io/
cs50.url	https://cs50.harvard.edu/
devdocs.url	https://devdocs.io/
dillinger.url	https://dillinger.io/
dotfiles.url	https://dotfiles.github.io/
draw.url	https://www.draw.io/
editorconfig.url	https://editorconfig.org/
eslint.url	https://eslint.org/
fullstackpython.url	https://www.fullstackpython.com/
git github.url	https://github.com/git
git scm.url	https://git-scm.com/
git-it-electron.url	https://github.com/jlord/git-it-electron
githowto.url	https://githowto.com/
GitHubGuides.url	https://guides.github.com/
harvard.url	https://online-learning.harvard.edu/
heidoc.url	https://www.heidoc.net/joomla/
htmlhint.url	https://htmlhint.com/
iana.url	https://www.iana.org/
ietf.url	https://tools.ietf.org/tools/
jsbin.url	https://jsbin.com/
JustTime.url	https://time.is/just
